algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,um_road,70.44146846881027,69.35531980086093,55.49991226196289,96.3918685913086,15.61120319366455,3.608133316040039
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,umm_road,82.26434965883371,79.80159023697445,73.15453338623047,93.96575164794922,10.643204689025879,6.034246444702148
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,uu_road,71.98457143700385,66.46647265387105,81.78173828125,64.28361511230469,2.2710838317871094,35.71638488769531
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,um_road,74.59258461850591,68.46390477193737,83.372314453125,67.48582458496094,2.5396721363067627,32.51417922973633
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,umm_road,86.5712000994885,84.43183457746059,78.96296691894531,95.80188751220703,8.142350196838379,4.198108196258545
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,uu_road,73.97763021022269,64.55863707172445,76.33037567138672,71.76558685302734,3.088092565536499,28.234413146972656
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,um_road,84.02352194608991,87.32492233703584,77.94456481933594,91.13088989257812,5.208620071411133,8.869112968444824
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,umm_road,84.02713792580447,87.63127661156254,78.71156311035156,90.1126480102539,7.5225324630737305,9.887347221374512
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,uu_road,79.78931250879673,80.15161707356137,81.74946594238281,77.92095184326172,2.7588441371917725,22.079044342041016
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,um_road,83.65506132423577,87.30109235235282,75.4412841796875,93.87594604492188,5.766417980194092,6.124057769775391
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,umm_road,88.53985259341006,90.37896957399948,86.5524673461914,90.62065124511719,4.491640090942383,9.379354476928711
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,uu_road,80.51705923130943,82.1630652468392,77.83142852783203,83.3946533203125,3.296104907989502,16.6053466796875
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,um_road,88.09454440660373,89.34095557143372,87.65435028076172,88.53917694091797,2.5188543796539307,11.460822105407715
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,umm_road,89.13673188563513,90.30533620377571,88.09541320800781,90.20296478271484,3.762312650680542,9.797038078308105
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,uu_road,82.5540932162363,85.5461650132641,80.45584106445312,84.76471710205078,3.265554428100586,15.235279083251953
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,um_road,88.47907333857495,88.6988141594419,84.37826538085938,92.99884796142578,3.2488629817962646,7.001155853271484
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,umm_road,91.81692478936667,91.03135510171344,88.36946868896484,95.54428100585938,4.011590480804443,4.455721378326416
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,uu_road,83.26761743349176,86.13975605327973,83.30851745605469,83.22675323486328,2.313920736312866,16.773244857788086
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,um_road,89.44063325142938,90.48242434147035,91.24260711669922,87.70845794677734,1.700379729270935,12.291543960571289
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,umm_road,90.1560389854213,90.8636595948502,88.1449203491211,92.26107025146484,3.8299989700317383,7.738930702209473
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,uu_road,84.7208457365378,87.65783138507582,83.36221313476562,86.12449645996094,2.726059675216675,13.875503540039062
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,um_road,89.75600827738796,90.53864606605063,89.42562103271484,90.08885192871094,2.0101070404052734,9.911152839660645
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,umm_road,92.10017818712832,91.16059457273138,88.30721282958984,96.23359680175781,4.065025329589844,3.7664055824279785
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,uu_road,85.14529551945449,87.9678348128868,86.88758850097656,83.47150421142578,1.7480071783065796,16.52849578857422
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,um_road,90.9788280711102,91.1029073793938,91.5694808959961,90.39574432373047,1.6810420751571655,9.60425853729248
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,umm_road,92.20883008171339,91.58453489244167,89.87751770019531,94.66431427001953,3.290754556655884,5.335690021514893
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,uu_road,86.11066021149124,88.88642813747154,86.7625503540039,85.46849822998047,2.068047046661377,14.531508445739746
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,valid,um_road,89.85277558873295,90.54585047051123,89.78009033203125,89.92557525634766,1.931546688079834,10.07442569732666
adaboostdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,valid,umm_road,93.28253423409011,91.54767821435861,90.46582794189453,96.2802734375,3.237058162689209,3.7197227478027344
