algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,um_road,57.8193848413064,37.94922803078115,42.64804458618164,89.74452209472656,24.377229690551758,10.255481719970703
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,umm_road,70.65265566467973,52.57100694148542,59.01219940185547,88.01383972167969,18.868478775024414,11.986161231994629
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,uu_road,50.046315037085066,30.944997927399758,34.77772903442383,89.21444702148438,26.53458023071289,10.78555679321289
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,um_road,55.94299404875602,38.182436403469055,40.412967681884766,90.85832977294922,25.278478622436523,9.141669273376465
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,umm_road,71.40671393095934,53.42025473932486,59.916751861572266,88.34899139404297,18.855192184448242,11.651007652282715
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,uu_road,45.53878739359301,27.266449466408865,30.616945266723633,88.833984375,27.935138702392578,11.166011810302734
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,um_road,73.78594712940878,58.224701670915415,63.88555908203125,87.31761932373047,9.970282554626465,12.682378768920898
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,umm_road,73.0320958608398,66.20910008903927,74.2081069946289,71.89277648925781,7.712409019470215,28.107229232788086
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,uu_road,62.266173920422894,45.26763546829701,49.59674835205078,83.6291275024414,13.478615760803223,16.370872497558594
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,um_road,72.37629329939423,55.399204425135174,60.816200256347656,89.362548828125,10.864206314086914,10.637452125549316
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,umm_road,78.49427752615463,70.66263082351877,79.62506866455078,77.39515686035156,6.317931175231934,22.604843139648438
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,uu_road,60.210304409866296,41.87537218096674,45.95335388183594,87.29271697998047,14.24654769897461,12.70727825164795
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,um_road,83.16861487478707,82.86115818181995,80.84873962402344,85.62554931640625,4.096893787384033,14.374448776245117
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,umm_road,84.33329008400004,86.06185770974444,82.25458526611328,86.51978302001953,5.761220455169678,13.480217933654785
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,train,uu_road,79.20316230176357,76.023551245503,77.44152069091797,81.04681396484375,3.7441582679748535,18.953184127807617
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,um_road,84.0819109475355,82.7601240890321,79.87721252441406,88.75387573242188,4.218982219696045,11.246129035949707
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,umm_road,87.37177528367911,87.41245579622313,85.4769287109375,89.3525390625,4.843186378479004,10.64746379852295
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",15000,valid,uu_road,80.43457963838966,73.67793232660588,77.73094940185547,83.33306884765625,3.3128767013549805,16.666933059692383
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,um_road,87.35490794765846,86.99122968760612,86.68331146240234,88.0369873046875,2.731826066970825,11.963013648986816
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,umm_road,87.67046762547287,88.90252955435773,88.48766326904297,86.86822509765625,3.488306760787964,13.13177490234375
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,train,uu_road,82.53934994621356,81.05673541468762,80.39790344238281,84.7979965209961,3.278881788253784,15.202006340026855
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,um_road,87.7815398738657,86.39119640725895,84.85704040527344,90.91481018066406,3.061347484588623,9.085188865661621
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,umm_road,90.51561997244129,90.32900851950315,89.6406478881836,91.40784454345703,3.3699686527252197,8.592157363891602
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",15000,valid,uu_road,82.67102439257955,79.86642455347179,76.3076400756836,90.19226837158203,3.8858835697174072,9.807731628417969
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,um_road,90.0279857599024,90.37211159297925,90.72610473632812,89.34052276611328,1.8446145057678223,10.659473419189453
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,umm_road,91.24013567968949,91.0422102698692,88.2931900024414,94.39059448242188,3.862898826599121,5.609402179718018
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,train,uu_road,84.58244467980745,86.18255995610323,85.14196014404297,84.03023529052734,2.325604200363159,15.969764709472656
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,valid,um_road,89.52681236155506,90.3391809820786,89.52478790283203,89.5288314819336,1.9766860008239746,10.471161842346191
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,valid,umm_road,92.29908786515378,91.14971829568098,88.02597045898438,97.00823974609375,4.209716796875,2.991760492324829
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",15000,valid,uu_road,85.70025948024085,87.13200612481653,88.01893615722656,83.5006103515625,1.5772085189819336,16.499387741088867
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,train,um_road,93.0704759570498,91.48317617506628,92.17906951904297,93.97929382324219,1.610592246055603,6.0207085609436035
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,train,umm_road,94.64734373533615,92.24320631606506,92.87005615234375,96.49398040771484,2.2865653038024902,3.5060174465179443
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,train,uu_road,88.76569601928303,89.37763599348962,87.4352035522461,90.1373062133789,2.054263114929199,9.862693786621094
baggingdecision_tree,"{""algorithm_name"": ""decision_tree"", ""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",15000,valid,um_road,90.17222960950077,90.76289822280434,88.09954833984375,92.34478759765625,2.3537344932556152,7.655209541320801
