algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,um_road,38.18033833527294,23.239061974187088,23.88251304626465,95.13532257080078,61.24541091918945,4.8646721839904785
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,umm_road,47.86010313516116,31.537902707976233,32.333126068115234,92.07740783691406,59.477752685546875,7.922595977783203
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,uu_road,31.079405021835637,18.104128800408432,18.545705795288086,95.87309265136719,66.78050994873047,4.1269073486328125
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,um_road,36.12628224783654,21.586796220248576,22.13275909423828,98.23703002929688,65.21531677246094,1.7629696130752563
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,umm_road,48.09275941754414,31.740537086656605,32.49599075317383,92.47892761230469,61.28544235229492,7.521072864532471
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,uu_road,28.165357259106027,16.079985851519574,16.448678970336914,97.9042739868164,69.00873565673828,2.095723867416382
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,um_road,59.996137943758335,59.54335303800333,50.78017807006836,73.29898071289062,14.35063362121582,26.701021194458008
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,umm_road,71.14480001293427,68.3485479291296,61.557979583740234,84.26847839355469,16.24277114868164,15.731523513793945
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,uu_road,58.38403892251433,54.653189699094604,47.54258728027344,75.63058471679688,13.234387397766113,24.369415283203125
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,um_road,61.172332551871314,62.15827130874247,47.29629135131836,86.57099914550781,18.202945709228516,13.429003715515137
extratrees,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,umm_road,78.78145393263408,79.46207979636242,78.22147369384766,79.3495101928711,7.047929763793945,20.650487899780273
