algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,um_road,63.35119877226282,48.10267791439822,57.06297302246094,71.19696044921875,10.820975303649902,28.80303955078125
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,umm_road,72.43188304685198,61.243718084581836,75.83440399169922,69.32157897949219,6.818245887756348,30.678424835205078
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,train,uu_road,58.745311527046596,42.236344981408976,50.59190368652344,70.0316390991211,10.846602439880371,29.968366622924805
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,um_road,64.83338161761782,47.460561058079875,52.88913345336914,83.74626922607422,14.075870513916016,16.25373077392578
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,umm_road,82.43139860778041,73.68759150220754,86.2299575805664,78.95338439941406,4.022190570831299,21.046615600585938
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",15000,valid,uu_road,56.06394824347696,38.69907152355946,46.611454010009766,70.32548522949219,11.177592277526855,29.67451286315918
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,um_road,67.85522384551692,66.66904102029444,59.7737922668457,78.46351623535156,10.665800094604492,21.53648567199707
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,umm_road,76.71645796555534,78.4336582174786,76.8804931640625,76.55311584472656,7.105559825897217,23.446882247924805
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,train,uu_road,61.65163624929294,56.54717461974996,56.75082778930664,67.47887420654297,8.155598640441895,32.5211181640625
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",15000,valid,um_road,72.96832658546802,71.79336839150842,68.81927490234375,77.64976501464844,6.638524055480957,22.35023307800293
