algorithm,configuration,model_file,data_set,train_time,predict_time,ce,classification_rate,precision,recall,f1
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/1/models/randomforest_15000sp.npz,train,8.325067043304443,1.2059168815612793,0.37773679414054118,0.82321556829031395,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 1, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/1/models/randomforest_15000sp.npz,valid,8.325067043304443,0.2159099578857422,0.3603732919027966,0.82705310016362077,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/2/models/randomforest_15000sp.npz,train,12.799663066864014,1.3375589847564697,0.33555515845105216,0.82321556829031395,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 2, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/2/models/randomforest_15000sp.npz,valid,12.799663066864014,0.22455215454101562,0.32276596922210915,0.82705310016362077,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/3/models/randomforest_15000sp.npz,train,24.251663208007812,1.4889380931854248,0.22316645413229683,0.90658876953096734,0.79144527252438468,0.64034841510422513,0.35396211778395498
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 5, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/3/models/randomforest_15000sp.npz,valid,24.251663208007812,0.3320441246032715,0.20830160911190512,0.93049399854613357,0.84167161877840768,0.73668747188484029,0.3928440243180234
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/4/models/randomforest_15000sp.npz,train,31.242785930633545,1.759917974472046,0.17016528928117819,0.93401141166298585,0.84091504764812908,0.7729571310953931,0.40275264130960697
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 7, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/4/models/randomforest_15000sp.npz,valid,31.242785930633545,0.2935171127319336,0.16359973484005122,0.93969371555272452,0.84206251938041732,0.80166160593792168,0.4106827789340266
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/5/models/randomforest_15000sp.npz,train,38.387418031692505,1.867016077041626,0.13028078901951942,0.9469505289234259,0.86401623251027304,0.83065285730324467,0.42350306417049166
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 10, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/5/models/randomforest_15000sp.npz,valid,38.387418031692505,0.36466288566589355,0.13047129569057284,0.94481142281986885,0.85170931482180723,0.82443488529014841,0.41892509678986239
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/6/models/randomforest_15000sp.npz,train,48.79895210266113,2.4257760047912598,0.094366823552719803,0.96239625901886494,0.88796014762529363,0.90097208188316302,0.44720939655442643
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 5, ""max_depth"": 15, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/6/models/randomforest_15000sp.npz,valid,48.79895210266113,0.45822715759277344,inf,0.9505199152964745,0.8575129533678757,0.85616284300494827,0.42841868317388859
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 1, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/7/models/randomforest_15000sp.npz,train,15.059831142425537,2.1649680137634277,0.37944260571850286,0.82321556829031395,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 1, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/7/models/randomforest_15000sp.npz,valid,15.059831142425537,0.4022698402404785,0.36632418721667187,0.82705310016362077,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 2, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/8/models/randomforest_15000sp.npz,train,26.720016956329346,2.4731390476226807,0.2993285171404424,0.82321556829031395,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 2, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/8/models/randomforest_15000sp.npz,valid,26.720016956329346,0.45045900344848633,0.28317811708803992,0.82705310016362077,nan,0.0,nan
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 5, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/9/models/randomforest_15000sp.npz,train,51.66568088531494,2.8748619556427,0.20582896470049936,0.91329608836906007,0.79421591851397666,0.68774793233786158,0.3685787311706919
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 5, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/9/models/randomforest_15000sp.npz,valid,51.66568088531494,0.499910831451416,0.19196304190439906,0.9329154885404688,0.8328110430010548,0.76585695006747634,0.39896596925735789
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 7, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/10/models/randomforest_15000sp.npz,train,65.13834118843079,3.2023799419403076,0.16985256024693385,0.93330102551146354,0.82548725710499227,0.78964578421466258,0.40358442049039517
randomforest,"{""criterion"": ""gini"", ""n_estimators"": 10, ""max_depth"": 7, ""min_samples_split"": 2}",results/randomforest/12-18-2015-1450489122/10/models/randomforest_15000sp.npz,valid,65.13834118843079,0.6204230785369873,0.16171468435493377,0.94327732624715244,0.84109882268997505,0.82855375618533511,0.41738958013185945
