algorithm,configuration,superpixels,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
logistic,"{""penalty"": ""l2"", ""C"": 10}",100,train,um_road,71.04067665209985,69.78129464204858,59.82025909423828,87.44209289550781,11.86333179473877,12.557907104492188
logistic,"{""penalty"": ""l2"", ""C"": 10}",100,train,umm_road,78.95780263573194,79.92327421631477,70.4866943359375,89.7431640625,11.598055839538574,10.256839752197266
logistic,"{""penalty"": ""l2"", ""C"": 10}",100,train,uu_road,60.42856904349841,53.914358783998,53.23704528808594,69.86648559570312,9.732832908630371,30.13351821899414
logistic,"{""penalty"": ""l2"", ""C"": 10}",100,valid,um_road,69.63672208131528,64.9375308518405,65.50155639648438,74.32918548583984,7.386904716491699,25.67081069946289
logistic,"{""penalty"": ""l2"", ""C"": 10}",100,valid,umm_road,83.97437489914597,86.22078481235185,79.90015411376953,88.48641967773438,7.101277828216553,11.513578414916992
logistic,"{""penalty"": ""l2"", ""C"": 10}",100,valid,uu_road,56.57801129525012,49.07550217941583,48.974605560302734,66.9761962890625,9.683134078979492,33.023799896240234
logistic,"{""penalty"": ""l2"", ""C"": 10}",1000,train,um_road,70.55154633840624,65.34730148648894,60.05164337158203,85.50126647949219,11.488778114318848,14.498737335205078
logistic,"{""penalty"": ""l2"", ""C"": 10}",1000,train,umm_road,79.12340292133584,77.81154705603977,70.18266296386719,90.67467498779297,11.890445709228516,9.325326919555664
logistic,"{""penalty"": ""l2"", ""C"": 10}",1000,train,uu_road,60.147966984386535,50.93801719210843,48.59680938720703,78.90263366699219,13.235982894897461,21.097370147705078
logistic,"{""penalty"": ""l2"", ""C"": 10}",1000,valid,um_road,69.02112098768656,63.32487940455944,57.95361328125,85.31361389160156,11.679429054260254,14.68638801574707
logistic,"{""penalty"": ""l2"", ""C"": 10}",1000,valid,umm_road,84.29917467139269,84.66629228803899,77.4627685546875,92.45906829833984,8.581668853759766,7.540937423706055
logistic,"{""penalty"": ""l2"", ""C"": 10}",1000,valid,uu_road,54.31408157098746,44.86452601524608,46.416664123535156,65.44983673095703,10.48442268371582,34.5501594543457
