algorithm,configuration,data_set,category,MaxF,AvgPrec,PRE_wp,REC_wp,FPR_wp,FNR_wp
knn,"{""k"": 1}",train,um_road,97.50910950844352,89.90499638789295,97.21504211425781,97.80496215820312,0.5659441351890564,2.195037603378296
knn,"{""k"": 1}",train,umm_road,98.38984431472151,91.53393505881267,98.32876586914062,98.45100402832031,0.5164766907691956,1.5489983558654785
knn,"{""k"": 1}",train,uu_road,97.70778855150459,89.77752884108277,97.38644409179688,98.03125762939453,0.4172344207763672,1.9687401056289673
knn,"{""k"": 1}",valid,um_road,85.06611577365722,69.8367942612932,81.82853698730469,88.57044219970703,3.711327075958252,11.429553985595703
knn,"{""k"": 1}",valid,umm_road,84.64651975436118,74.74419909617266,93.70352172851562,77.18602752685547,1.6546084880828857,22.813968658447266
knn,"{""k"": 1}",valid,uu_road,75.63532578712244,56.108627013391356,65.86930847167969,88.80133056640625,6.385010719299316,11.19866943359375
knn,"{""k"": 3}",train,um_road,93.031937268419,90.3361151297236,91.9454574584961,94.14440155029297,1.6658365726470947,5.855599880218506
knn,"{""k"": 3}",train,umm_road,94.19632773926516,91.77728422552772,89.67192077636719,99.20155334472656,3.5265867710113525,0.798448383808136
knn,"{""k"": 3}",train,uu_road,89.6248275519705,89.3101687095803,85.2209243774414,94.50868225097656,2.5992915630340576,5.491317272186279
knn,"{""k"": 3}",valid,um_road,87.54702262299672,84.01796204167307,84.01446533203125,91.38969421386719,3.2811458110809326,8.610311508178711
knn,"{""k"": 3}",valid,umm_road,90.56350685607542,89.23946457460322,89.6980209350586,91.44585418701172,3.3505537509918213,8.554143905639648
knn,"{""k"": 3}",valid,uu_road,79.93551946986392,73.05024716938561,81.80198669433594,78.15232849121094,2.4125823974609375,21.847673416137695
knn,"{""k"": 5}",train,um_road,92.2529684029523,90.3062490917759,90.96574401855469,93.5771484375,1.8772045373916626,6.422854423522949
knn,"{""k"": 5}",train,umm_road,94.13205183781871,91.42454878601654,92.25775909423828,96.08407592773438,2.4887895584106445,3.9159224033355713
knn,"{""k"": 5}",train,uu_road,89.32275747227666,88.67308043116249,91.16422271728516,87.55421447753906,1.3457977771759033,12.445786476135254
knn,"{""k"": 5}",valid,um_road,88.4647894124442,86.68547299233832,84.97174835205078,92.25732421875,3.07886004447937,7.742672443389893
knn,"{""k"": 5}",valid,umm_road,91.12617207246167,89.91326533519613,87.47270965576172,95.09812927246094,4.3448166847229,4.901871681213379
knn,"{""k"": 5}",valid,uu_road,81.96896952728993,78.42366885238619,78.22672271728516,86.0872573852539,3.324969530105591,13.91274642944336
