algorithm,configuration,data_set,ce,classification_rate,precision,recall,f1
knn,"{""k"": 1}",train,-0.0,1.0,1.0,1.0,0.5
knn,"{""k"": 1}",valid,inf,0.93771338340730626,0.81581424537182301,0.8366517839185873,0.41305081716543873
knn,"{""k"": 3}",train,0.051297126591412952,0.97508076307522085,0.92474388494010074,0.93962512376069762,0.46606255697164789
knn,"{""k"": 3}",valid,inf,0.94547342665301015,0.83545983066057983,0.86126865371465344,0.42408397702515349
knn,"{""k"": 5}",train,0.065221017358571415,0.96962987295252023,0.90800475516858936,0.92716089568838078,0.45874142298723308
knn,"{""k"": 5}",valid,inf,0.94800557641971095,0.84229824082380933,0.86858935682394112,0.42762089587706442
knn,"{""k"": 7}",train,0.072110521574696856,0.96678217185987236,0.89935540288975602,0.92061005547191821,0.45492930843238644
knn,"{""k"": 7}",valid,inf,0.94931432798452264,0.84602177391032896,0.87208881380475445,0.42942877515449213
knn,"{""k"": 9}",train,0.07637099363249221,0.96519778309063242,0.89412122333535993,0.91753807760643424,0.45283915578373818
knn,"{""k"": 9}",valid,inf,0.95081512461590989,0.84898102053515867,0.87804191303648282,0.43163348031558341
knn,"{""k"": 11}",train,0.079454334345817293,0.96410859299361795,0.89080922642231875,0.91506964506110045,0.45138823844249681
knn,"{""k"": 11}",valid,inf,0.9513841470353932,0.85089153624542557,0.87912795140983868,0.4323896571507706
knn,"{""k"": 15}",train,0.083477911758258153,0.9623488470885776,0.88573633287825726,0.91072954388249172,0.44902954009729679
knn,"{""k"": 15}",valid,inf,0.95198162057585067,0.85233463035019452,0.88109890993926232,0.43323905777180033
knn,"{""k"": 21}",train,0.087282115208575414,0.96088671435063522,0.88104781650047714,0.90777284995456453,0.44710534841698479
knn,"{""k"": 21}",valid,inf,0.9528138158643451,0.8546246935678431,0.88343188125980454,0.43439477848101271
knn,"{""k"": 51}",train,0.095996210206930874,0.95743143782972084,0.87052789674237407,0.90010985881108352,0.44253588277460115
knn,"{""k"": 51}",valid,inf,0.95304853761238195,0.85439795046968403,0.8853626161457705,0.43480236256247162
knn,"{""k"": 99}",train,0.10197991301217288,0.95504188812708701,0.86263894149762932,0.89574941340820002,0.43944122108961226
knn,"{""k"": 99}",valid,inf,0.95297029702970293,0.85332042594385282,0.88640843087566867,0.43477488852937696
knn,"{""k"": 251}",train,0.11019467454372602,0.95162983343541918,0.85145230909031899,0.8895783320448658,0.43504893425796032
knn,"{""k"": 251}",valid,inf,0.95280670308410154,0.85136489821098082,0.88817827118780424,0.43469102506053509
